place,other,relation,source
ir-w624208392,ir-w624212884,adjacent,osm
ir-mazaghineh,ir-beheshti-town,adjacent,osm
ir-mazaghineh,ir-w624718588,adjacent,osm
ir-mazaghineh,ir-hospital-of-besat,adjacent,osm
ir-mazaghineh,ir-w624722706,adjacent,osm
ir-mazaghineh,ir-jadeh-mazaghineh,adjacent,osm
ir-w624210388,ir-beheshti-town,adjacent,osm
ir-w624210388,ir-w624718588,adjacent,osm
ir-w624210388,ir-hospital-of-besat,adjacent,osm
ir-w624210388,ir-w624722706,adjacent,osm
ir-w624210388,ir-jadeh-mazaghineh,adjacent,osm
ir-shams-e-tabrizi,ir-w624628998,adjacent,osm
ir-shams-e-tabrizi,ir-mojahed,adjacent,osm
ir-shams-e-tabrizi,ir-w624386006,adjacent,osm
ir-shams-e-tabrizi,ir-shahabad,adjacent,osm
ir-w624210443,ir-w624628998,adjacent,osm
ir-w624210443,ir-mojahed,adjacent,osm
ir-w624210443,ir-w624386006,adjacent,osm
ir-w624210443,ir-shahabad,adjacent,osm
ir-beheshti-town,ir-haj-shams-ali-town,adjacent,osm
ir-beheshti-town,ir-w624713899,adjacent,osm
ir-beheshti-town,ir-resalat,adjacent,osm
ir-beheshti-town,ir-haj-enayat,adjacent,osm
ir-beheshti-town,ir-w624701638,adjacent,osm
ir-beheshti-town,ir-w624718588,adjacent,osm
ir-beheshti-town,ir-hospital-of-besat,adjacent,osm
ir-beheshti-town,ir-w624722706,adjacent,osm
ir-beheshti-town,ir-jadeh-mazaghineh,adjacent,osm
ir-w624212884,ir-w624314415,adjacent,osm
ir-w624212884,ir-vali-asr-2,adjacent,osm
ir-pirzargar,ir-pir-abdolmalek,adjacent,osm
ir-pirzargar,ir-taze-meydan,adjacent,osm
ir-pirzargar,ir-jome-masjed,adjacent,osm
ir-pirzargar,ir-nama-lar,adjacent,osm
ir-pirzargar,ir-yasavol,adjacent,osm
ir-pirzargar,ir-zhandarmery,adjacent,osm
ir-pir-abdolmalek,ir-ochtukan,adjacent,osm
ir-pir-abdolmalek,ir-abravan,adjacent,osm
ir-pir-abdolmalek,ir-bazar,adjacent,osm
ir-pir-abdolmalek,ir-pir-shams-aldin,adjacent,osm
ir-pir-abdolmalek,ir-taze-meydan,adjacent,osm
ir-pir-abdolmalek,ir-jome-masjed,adjacent,osm
ir-seyed-abad,ir-pir-madar,adjacent,osm
ir-seyed-abad,ir-pir-shams-aldin,adjacent,osm
ir-seyed-abad,ir-jome-masjed,adjacent,osm
