place,name,kind,source
ir-miandoab,شهر میاندوآب,spelling,osm
ir-r17341189,شهر بندر ماهشهر,spelling,osm
ir-sari,شهر ساری,spelling,osm
ir-maragheh,شهر مراغه,spelling,osm
ir-gorgan-2,شهر گرگان,spelling,osm
ir-district-18,منطقه ۱۸ شهر تهران,spelling,osm
ir-r8199755,شهر بیرجند,spelling,osm
ir-neyshabur-city,شهر نیشابور,spelling,osm
ir-bandar-e-anzali,شهر بندر انزلی,spelling,osm
ir-sabzevar,شهر سبزوار,spelling,osm
ir-zarrinshahr,شهر زرین شهر,spelling,osm
ir-shahr-e-babak,شهر بابک,spelling,osm
ir-arg-e-jadid-e-bam,شهر ارگ جدید بم,spelling,osm
ir-abadeh-2,شهر آباده,spelling,osm
ir-fardis,شهر فردیس,spelling,osm
ir-sanandaj,شهر سنندج,spelling,osm
ir-jiroft,شهر جیرفت,spelling,osm
ir-semnan,شهر سمنان,spelling,osm
ir-mahan,شهر ماهان,spelling,osm
ir-district-2-10,منطقه ۲ شهر تهران,spelling,osm
ir-r17353299,شهر خرمشهر,spelling,osm
ir-kashan,شهر کاشان,spelling,osm
ir-district-21,منطقه ۲۱ شهر تهران,spelling,osm
ir-district-5-6,منطقه ۵ شهر تهران,spelling,osm
ir-shahreza,شهر شهرضا,spelling,osm
ir-baravat,شهر بروات,spelling,osm
ir-district-22,منطقه ۲۲ شهر تهران,spelling,osm
ir-qaem-shahr,شهر قائمشهر,spelling,osm
ir-zarand,شهر زرند,spelling,osm
ir-sadra,شهر صدرا,spelling,osm
ir-district-4-7,منطقه ۴ شهر تهران,spelling,osm
ir-arak,شهر اراک,spelling,osm
ir-dezful,شهر دزفول,spelling,osm
ir-qazvin,شهر قزوین,spelling,osm
ir-bam,شهر بم,spelling,osm
ir-bushehr,شهر بوشهر,spelling,osm
ir-urmia,شهر ارومیه,spelling,osm
ir-hamedan,شهر همدان,spelling,osm
ir-rasht,شهر رشت,spelling,osm
ir-bandar-abbas,شهر بندرعباس,spelling,osm
ir-zahedan,شهر زاهدان,spelling,osm
ir-sirjan,شهر سیرجان,spelling,osm
ir-rafsanjan,شهر رفسنجان,spelling,osm
ir-tabriz,شهر تبریز,spelling,osm
ir-qom,شهر قم,spelling,osm
ir-kerman-2,شهر کرمان,spelling,osm
ir-r8188592,شهر یزد,spelling,osm
ir-ahwaz,شهر اهواز,spelling,osm
ir-mashhad,شهر مشهد,spelling,osm
ir-tehran,شهر تهران,spelling,osm
ir-shahr-e-deraz,شهر دراز,spelling,osm
ir-shahr-e-pir,شهر پیر,spelling,osm
ir-kharv,شهر خرو,spelling,osm
ir-shahr-e-somam,شهر سمام,spelling,osm
ir-shahrabad-e-khavar,شهر آباد خاور,spelling,osm
ir-shahrabad-e-kord,شهر آباد کرد,spelling,osm
ir-n4418017203,شهر سوخته,spelling,osm
ir-n4422680528,شهر بن,spelling,osm
ir-zahra,شهر زهرا,spelling,osm
ir-shahre-khas,شهر خاص,spelling,osm
ir-n4493293286,شهر جدید چناره,spelling,osm
ir-new-town-eyvanakey,شهر جدید ایوانکی,spelling,osm
ir-n6013583593,شهر صنعتی کاوه,spelling,osm
ir-n6083148787,شهر جدید علوی,spelling,osm
ir-n6669625566,شهر رامین,spelling,osm
ir-n7190391834,شهر سمام,spelling,osm
ir-shahr-e-jadid-e-tis,شهر جدید تیس,spelling,osm
ir-shahr-e-jadid-e-shahriar,شهر جدید شهریار,spelling,osm
ir-n11659376800,شهر جدید پرنیان,spelling,osm
ir-n12451881015,شهر جدید البرز,spelling,osm
ir-n12875161746,شهر اللهی,spelling,osm
ir-nama-lar,نمه لر,colloquial,osm
ir-goldasht-e-sarchesmeh,گلدشت سفلی,colloquial,osm
ir-dasht-e-beyza,صادقآباد,spelling,osm
ir-kuye-takhti,کوی ویلا; Kuye Vila,colloquial,osm
ir-r16789836,خین عرب,old,osm
ir-kohmitak,کوهمیتک,spelling,osm
ir-gondashloo-olia,گلدشت علیا,colloquial,osm
ir-amirieh,فاطمیه; معلم,colloquial,osm
ir-shahrak-anjireh,۱۳۸,colloquial,osm
ir-r11789894,خیابان لعلی,colloquial,osm
ir-r11789889,خیابان شهدا (کشتارگاه); داوران,colloquial,osm
ir-r16999940,کوی کارمندان,old,osm
ir-r16399418,شهرک امیرکبیر,colloquial,osm
ir-shahrak-e-emam-hossein,۱۰۱,colloquial,osm
ir-torkan,۱۳۹,colloquial,osm
ir-r11789890,خیابان شهدا (کشتارگاه),colloquial,osm
ir-kolahduz,۰۷۷,colloquial,osm
ir-r11789879,خیابان آیت ا... غفاری; شن کش,colloquial,osm
ir-moshaver,الهیه; مشاور,colloquial,osm
ir-r11789888,خیابان مشهد; میدان علی ابن ابی طالب,colloquial,osm
ir-south-safir,۰۷۳,colloquial,osm
ir-shahrak-e-saadi,۰۸۲,colloquial,osm
ir-r11789880,خیابان ادبجو; آیت ... غفاری; قائم مقام,colloquial,osm
ir-bist-metri-fazel,۱۲۲,colloquial,osm
ir-shahrak-emam-hossein,۱۲۰,colloquial,osm
ir-tiskoupan-haj-soleyman,طیس کوپان,colloquial,osm
ir-fazl-abad,۰۴۱,colloquial,osm
ir-chanchaneh,۰۳۴,colloquial,osm
ir-kouye-omid,شهرک اسمان,colloquial,osm
ir-r11789906,شهرک علی ابن ابی طالب(ع) (فوتبال); فتح شیاکوه,colloquial,osm
ir-r17526361,الوسجرد,colloquial,osm
ir-r17526361,الوسگرد,colloquial,osm
ir-r11789893,خیابان مشهد; خیابان جلال آل احمد (رنگرزها),colloquial,osm
ir-r11789884,شهرک امیرکبیر; جانبازان; میدان مقاومت,colloquial,osm
ir-shahrak-esar,۰۷۸,colloquial,osm
ir-imam-reza-teravel-terminal,پایانه مسافربری امام رضا,colloquial,osm
ir-r11789915,خیابان شهید شیرودی;کوچه کندی;خیابان جهان پناه,colloquial,osm
ir-kaseh-garan,Dorud Garan; درودگران,colloquial,osm
ir-r11789882,خانه سازی قنات; خیابان انوری,colloquial,osm
ir-astaneh,۰۰۳,colloquial,osm
ir-r11789897,داوران; ۱۲ متری سعادت,colloquial,osm
ir-shahrooz-shahr,۱۴۸,colloquial,osm
