id,name,name_en,code,kind,parent_id/id,in_path,latitude,longitude,source
place_w763227389,پاکنژاد,Paknejad Street,ir-paknejad-street-5,street,place_r8321820,True,35.771181,51.364229,osm:w763227389
place_w763300680,دهکده,,ir-w763300680,street,place_r8321773,True,35.758961,51.265395,osm:w763300680
place_w763310237,لاله زار شمالی,North Laleh Zar Street,ir-north-laleh-zar-street,street,place_r8321734,True,35.699381,51.423824,osm:w763310237
place_w763373848,چهل متری عبیدی,,ir-w763373848,street,place_r8321781,True,35.708828,51.244829,osm:w763373848
place_w763381308,مرادعلی جهانشاهلو,,ir-w763381308,street,place_r8321875,True,35.751981,51.508036,osm:w763381308
place_w763381318,پروین,Parvin Street,ir-parvin-street-2,street,place_r8321879,True,35.728903,51.535168,osm:w763381318
place_w763531289,فروزانفر,Forouzanfar,ir-forouzanfar-2,street,place_r8321709,True,35.728885,51.375763,osm:w763531289
place_w76355389,خبرنگار,,ir-w76355389,street,place_r8321689,True,35.718481,51.349222,osm:w76355389
place_w763650847,یاس سوم,Yas'e Sevom,ir-yas-e-sevom,street,place_r8321558,True,35.751329,51.254615,osm:w763650847
place_w764328961,کنارگذر چراغی,,ir-w764328961,street,place_r17407535,True,35.65389,51.376054,osm:w764328961
place_w764329215,استاد شهریار,,ir-w764329215,street,place_r8321731,True,35.62206,51.335537,osm:w764329215
place_w764329363,کنارگذر بزرگراه شهید بروجردی,Borujerdi Bypass,ir-borujerdi-bypass-5,street,place_r8321719,True,35.661955,51.301376,osm:w764329363
place_w764329730,کنارگذر امام علی,,ir-w764329730,street,place_r8321571,True,35.672092,51.463127,osm:w764329730
place_w764332899,کنارگذر امام علی,,ir-w764332899,street,place_r8321579,True,35.690182,51.45767,osm:w764332899
place_w764337436,نواب صفوی,Navvab-e Safavi,ir-navvab-e-safavi-4,street,place_r8321740,True,35.693317,51.378659,osm:w764337436
place_w764338068,مولوی,Mowlavi Street,ir-mowlavi-street-4,street,place_r8321601,True,35.667165,51.396388,osm:w764338068
place_w764338072,آذربایجان شرقی,East Azarbaijan,ir-east-azarbaijan-4,street,place_r8321663,True,35.694054,51.381413,osm:w764338072
place_w764339982,محسن قدیانی,,ir-w764339982,street,place_r8321597,True,35.636063,51.484466,osm:w764339982
place_w764339996,پاسدار گمنام,Pasdar Gomnam Blvd.,ir-pasdar-gomnam-blvd-2,street,place_r8321576,True,35.676542,51.459713,osm:w764339996
place_w764351379,برادران قاسمی,Qasemi,ir-qasemi-2,street,place_r8321613,True,35.647154,51.457861,osm:w764351379
place_w764407457,پاکنژاد,Paknejad Street,ir-paknejad-street-6,street,place_r9167415,True,35.771869,51.364275,osm:w764407457
place_w764407459,پاک نژاد,Paknejad Street,ir-paknejad-street-7,street,place_r9167415,True,35.770966,51.364521,osm:w764407459
place_w765655058,جمشید سید,,ir-w765655058,street,place_r8321758,True,35.634307,51.428048,osm:w765655058
place_w766369134,مهران,,ir-w766369134,street,place_r8321807,True,35.738666,51.452449,osm:w766369134
place_w766636921,شهید عراقی,,ir-w766636921,street,place_r8321751,True,35.634622,51.425915,osm:w766636921
place_w766661806,ساعت,,ir-w766661806,street,place_r8321713,True,35.633412,51.379236,osm:w766661806
place_w76840494,باقرخان غربی,Bagherkhan,ir-bagherkhan,street,place_r8321685,True,35.710286,51.373977,osm:w76840494
place_w76840645,دامپزشکی,Dampezeshki,ir-dampezeshki,street,place_r8321740,True,35.693323,51.369943,osm:w76840645
place_w76886397,تونل توحید,Tohid Tunnel,ir-tohid-tunnel,street,place_r8321665,True,35.701568,51.377945,osm:w76886397
place_w76886405,تونل توحید,Tohid Tunnel,ir-tohid-tunnel-2,street,place_r8321685,True,35.706326,51.377677,osm:w76886405
place_w76890500,ارومیه,Urmia St.,ir-urmia-st-2,street,place_r8321740,True,35.697787,51.375338,osm:w76890500
place_w769675540,زیرگذر استاد معین,,ir-w769675540,street,place_r8321657,True,35.699437,51.347362,osm:w769675540
place_w769675541,زیرگذر استاد معین,,ir-w769675541,street,place_r8321660,True,35.702351,51.347131,osm:w769675541
place_w770017952,پل پنجم ابوذر,,ir-w770017952,street,place_r21290235,True,35.65688,51.484286,osm:w770017952
place_w770017954,پل پنجم ابوذر,,ir-w770017954,street,place_r8321598,True,35.656651,51.484772,osm:w770017954
place_w771223418,کندرو بلوار دکتر حسابی,Dr. Hesabi Boulevard,ir-dr-hesabi-boulevard-13,street,place_r11022903,True,29.725146,52.443545,osm:w771223418
place_w772134587,ری,Rey,ir-rey-5,street,place_r8321589,True,35.681165,51.437711,osm:w772134587
place_w77339536,رحیمی,Rahimi Street,ir-rahimi-street,street,place_r8321689,True,35.719411,51.340669,osm:w77339536
place_w77339540,شهدای صادقیه,Shohadaye Sadeqiye,ir-shohadaye-sadeqiye,street,place_r8321689,True,35.723459,51.337548,osm:w77339540
