id,place_id/id,name,kind,source
alias_r5725142_367,place_r5725142,شهر مشهد,spelling,osm
alias_r6663864_368,place_r6663864,شهر تهران,spelling,osm
alias_n1500164904_369,place_n1500164904,شهر صدرا,spelling,osm
alias_n2269479538_370,place_n2269479538,شهر دراز,spelling,osm
alias_n2505386493_371,place_n2505386493,شهر پیر,spelling,osm
alias_n2518618771_372,place_n2518618771,شهر خرو,spelling,osm
alias_n3461337203_373,place_n3461337203,شهر سمام,spelling,osm
alias_n3731414498_374,place_n3731414498,شهر آباد خاور,spelling,osm
alias_n3731414656_375,place_n3731414656,شهر آباد کرد,spelling,osm
alias_n4418017203_376,place_n4418017203,شهر سوخته,spelling,osm
alias_n4422680528_377,place_n4422680528,شهر بن,spelling,osm
alias_n4425564890_378,place_n4425564890,شهر زهرا,spelling,osm
alias_n4466488951_379,place_n4466488951,شهر خاص,spelling,osm
alias_n4493293286_380,place_n4493293286,شهر جدید چناره,spelling,osm
alias_n5249382503_381,place_n5249382503,شهر جدید ایوانکی,spelling,osm
alias_n6013583593_382,place_n6013583593,شهر صنعتی کاوه,spelling,osm
alias_n6083148787_383,place_n6083148787,شهر جدید علوی,spelling,osm
alias_n6669625566_384,place_n6669625566,شهر رامین,spelling,osm
alias_n7190391834_385,place_n7190391834,شهر سمام,spelling,osm
alias_n8146387735_386,place_n8146387735,شهر جدید تیس,spelling,osm
alias_n10779213148_387,place_n10779213148,شهر جدید شهریار,spelling,osm
alias_n11659376800_388,place_n11659376800,شهر جدید پرنیان,spelling,osm
alias_n12451881015_389,place_n12451881015,شهر جدید البرز,spelling,osm
alias_n12875161746_390,place_n12875161746,شهر اللهی,spelling,osm
alias_r8672788_391,place_r8672788,نمه لر,colloquial,osm
alias_r10033178_392,place_r10033178,گلدشت سفلی,colloquial,osm
alias_r11094066_393,place_r11094066,صادقآباد,spelling,osm
alias_r8684007_394,place_r8684007,کوی ویلا; Kuye Vila,colloquial,osm
alias_r16789836_396,place_r16789836,خین عرب,old,osm
alias_r16336693_397,place_r16336693,کوهمیتک,spelling,osm
alias_r10033175_398,place_r10033175,گلدشت علیا,colloquial,osm
alias_r11789919_399,place_r11789919,فاطمیه; معلم,colloquial,osm
alias_r10055239_400,place_r10055239,۱۳۸,colloquial,osm
alias_r11789894_401,place_r11789894,خیابان لعلی,colloquial,osm
alias_r11789889_402,place_r11789889,خیابان شهدا (کشتارگاه); داوران,colloquial,osm
alias_r16999940_403,place_r16999940,کوی کارمندان,old,osm
alias_r16399418_404,place_r16399418,شهرک امیرکبیر,colloquial,osm
alias_r10054173_405,place_r10054173,۱۰۱,colloquial,osm
alias_r10055133_406,place_r10055133,۱۳۹,colloquial,osm
alias_r11789890_407,place_r11789890,خیابان شهدا (کشتارگاه),colloquial,osm
alias_r10054590_408,place_r10054590,۰۷۷,colloquial,osm
alias_r11789879_409,place_r11789879,خیابان آیت ا... غفاری; شن کش,colloquial,osm
alias_r11789927_410,place_r11789927,الهیه; مشاور,colloquial,osm
alias_r11789888_411,place_r11789888,خیابان مشهد; میدان علی ابن ابی طالب,colloquial,osm
alias_r10054506_412,place_r10054506,۰۷۳,colloquial,osm
alias_r10054163_413,place_r10054163,۰۸۲,colloquial,osm
alias_r11789880_414,place_r11789880,خیابان ادبجو; آیت ... غفاری; قائم مقام,colloquial,osm
